epoch, 0, time used, 1, seconds, train loss, 0.2361393079, validation loss:, 0.1086995863
epoch, 1, time used, 1, seconds, train loss, 0.1058514011, validation loss:, 0.0765211576
epoch, 2, time used, 1, seconds, train loss, 0.0890127653, validation loss:, 0.0860611035
epoch, 3, time used, 1, seconds, train loss, 0.0786101089, validation loss:, 0.0696408144
epoch, 4, time used, 1, seconds, train loss, 0.0769208773, validation loss:, 0.0646541184
epoch, 5, time used, 1, seconds, train loss, 0.0682663179, validation loss:, 0.0628475116
epoch, 6, time used, 1, seconds, train loss, 0.0616080159, validation loss:, 0.0656200497
epoch, 7, time used, 1, seconds, train loss, 0.0613207039, validation loss:, 0.0516333628
epoch, 8, time used, 1, seconds, train loss, 0.0610948320, validation loss:, 0.0646277195
epoch, 9, time used, 1, seconds, train loss, 0.0592089368, validation loss:, 0.0494359900
epoch, 10, time used, 1, seconds, train loss, 0.0573061374, validation loss:, 0.0594174826
epoch, 11, time used, 1, seconds, train loss, 0.0545359149, validation loss:, 0.0506699082
epoch, 12, time used, 1, seconds, train loss, 0.0531199478, validation loss:, 0.0568697815
epoch, 13, time used, 1, seconds, train loss, 0.0547428687, validation loss:, 0.0643165803
epoch, 14, time used, 1, seconds, train loss, 0.0568697728, validation loss:, 0.0578309145
epoch, 15, time used, 1, seconds, train loss, 0.0508495939, validation loss:, 0.0484882026
epoch, 16, time used, 1, seconds, train loss, 0.0492816279, validation loss:, 0.0473746013
epoch, 17, time used, 1, seconds, train loss, 0.0492661297, validation loss:, 0.0553831860
epoch, 18, time used, 1, seconds, train loss, 0.0493964805, validation loss:, 0.0449960146
epoch, 19, time used, 1, seconds, train loss, 0.0490007684, validation loss:, 0.0535788059
epoch, 20, time used, 1, seconds, train loss, 0.0479870536, validation loss:, 0.0523862204
epoch, 21, time used, 1, seconds, train loss, 0.0494162445, validation loss:, 0.0535853546
epoch, 22, time used, 1, seconds, train loss, 0.0483582134, validation loss:, 0.0526005565
epoch, 23, time used, 1, seconds, train loss, 0.0451813880, validation loss:, 0.0508596026
epoch, 24, time used, 1, seconds, train loss, 0.0486708578, validation loss:, 0.0480149672
epoch, 25, time used, 1, seconds, train loss, 0.0453670213, validation loss:, 0.0464315356
epoch, 26, time used, 1, seconds, train loss, 0.0464969779, validation loss:, 0.0499837169
epoch, 27, time used, 1, seconds, train loss, 0.0449179363, validation loss:, 0.0441965521
epoch, 28, time used, 1, seconds, train loss, 0.0453127704, validation loss:, 0.0455467545
epoch, 29, time used, 1, seconds, train loss, 0.0463630118, validation loss:, 0.0474865595
epoch, 30, time used, 1, seconds, train loss, 0.0441134817, validation loss:, 0.0407165164
epoch, 31, time used, 1, seconds, train loss, 0.0441569063, validation loss:, 0.0702437750
epoch, 32, time used, 1, seconds, train loss, 0.0453652080, validation loss:, 0.0485035763
epoch, 33, time used, 1, seconds, train loss, 0.0427390693, validation loss:, 0.0505920621
epoch, 34, time used, 1, seconds, train loss, 0.0440994246, validation loss:, 0.0835171061
epoch, 35, time used, 1, seconds, train loss, 0.0467900604, validation loss:, 0.0531433507
epoch, 36, time used, 1, seconds, train loss, 0.0445822278, validation loss:, 0.0444921981
epoch, 37, time used, 1, seconds, train loss, 0.0435476720, validation loss:, 0.0478896484
epoch, 38, time used, 1, seconds, train loss, 0.0446605916, validation loss:, 0.0469716395
epoch, 39, time used, 1, seconds, train loss, 0.0411754587, validation loss:, 0.0680694168
