epoch, 0, time used, 2, seconds, train loss, 0.4225906094, validation loss:, 0.2362987584
epoch, 1, time used, 1, seconds, train loss, 0.2453625514, validation loss:, 0.1830716783
epoch, 2, time used, 1, seconds, train loss, 0.2112318800, validation loss:, 0.1652774826
epoch, 3, time used, 1, seconds, train loss, 0.1937308785, validation loss:, 0.1617448997
epoch, 4, time used, 1, seconds, train loss, 0.1851550770, validation loss:, 0.1455239840
epoch, 5, time used, 1, seconds, train loss, 0.1774617345, validation loss:, 0.1493797660
epoch, 6, time used, 1, seconds, train loss, 0.1768298133, validation loss:, 0.1409590614
epoch, 7, time used, 1, seconds, train loss, 0.1705874905, validation loss:, 0.1567792389
epoch, 8, time used, 1, seconds, train loss, 0.1708163608, validation loss:, 0.1483150000
epoch, 9, time used, 1, seconds, train loss, 0.1650410247, validation loss:, 0.1399123335
epoch, 10, time used, 1, seconds, train loss, 0.1637907310, validation loss:, 0.1435458629
epoch, 11, time used, 1, seconds, train loss, 0.1586409005, validation loss:, 0.1383009085
epoch, 12, time used, 1, seconds, train loss, 0.1575381660, validation loss:, 0.1479292625
epoch, 13, time used, 1, seconds, train loss, 0.1576186603, validation loss:, 0.1431374934
epoch, 14, time used, 1, seconds, train loss, 0.1555887268, validation loss:, 0.1382165216
epoch, 15, time used, 1, seconds, train loss, 0.1528721882, validation loss:, 0.1302167711
epoch, 16, time used, 1, seconds, train loss, 0.1508589315, validation loss:, 0.1266257691
epoch, 17, time used, 1, seconds, train loss, 0.1480600787, validation loss:, 0.1344818907
epoch, 18, time used, 1, seconds, train loss, 0.1513885251, validation loss:, 0.1442738737
epoch, 19, time used, 1, seconds, train loss, 0.1481699279, validation loss:, 0.1271067329
epoch, 20, time used, 1, seconds, train loss, 0.1445266707, validation loss:, 0.1330299606
epoch, 21, time used, 1, seconds, train loss, 0.1447337451, validation loss:, 0.1214000360
epoch, 22, time used, 1, seconds, train loss, 0.1442910480, validation loss:, 0.1296777787
epoch, 23, time used, 1, seconds, train loss, 0.1453003611, validation loss:, 0.1315156012
epoch, 24, time used, 1, seconds, train loss, 0.1426093473, validation loss:, 0.1267966516
epoch, 25, time used, 1, seconds, train loss, 0.1410714095, validation loss:, 0.1191161251
epoch, 26, time used, 1, seconds, train loss, 0.1417481675, validation loss:, 0.1370715702
epoch, 27, time used, 1, seconds, train loss, 0.1399943452, validation loss:, 0.1323977056
epoch, 28, time used, 1, seconds, train loss, 0.1414619075, validation loss:, 0.1224836960
epoch, 29, time used, 1, seconds, train loss, 0.1374783817, validation loss:, 0.1473966604
epoch, 30, time used, 1, seconds, train loss, 0.1428475655, validation loss:, 0.1333006064
epoch, 31, time used, 1, seconds, train loss, 0.1388764891, validation loss:, 0.1153825813
epoch, 32, time used, 1, seconds, train loss, 0.1392828408, validation loss:, 0.1281530098
epoch, 33, time used, 1, seconds, train loss, 0.1373023445, validation loss:, 0.1141023553
epoch, 34, time used, 1, seconds, train loss, 0.1359192626, validation loss:, 0.1226341093
epoch, 35, time used, 1, seconds, train loss, 0.1360813074, validation loss:, 0.1165108747
epoch, 36, time used, 1, seconds, train loss, 0.1324262762, validation loss:, 0.1447296451
epoch, 37, time used, 1, seconds, train loss, 0.1381794342, validation loss:, 0.1181223771
epoch, 38, time used, 1, seconds, train loss, 0.1337242309, validation loss:, 0.1162852035
epoch, 39, time used, 1, seconds, train loss, 0.1313808698, validation loss:, 0.1353146454
epoch, 40, time used, 1, seconds, train loss, 0.1328232639, validation loss:, 0.1170630165
epoch, 41, time used, 1, seconds, train loss, 0.1311496151, validation loss:, 0.1100096381
epoch, 42, time used, 1, seconds, train loss, 0.1318742770, validation loss:, 0.1105092590
epoch, 43, time used, 1, seconds, train loss, 0.1295336798, validation loss:, 0.1186412381
epoch, 44, time used, 1, seconds, train loss, 0.1303047693, validation loss:, 0.1136594362
epoch, 45, time used, 1, seconds, train loss, 0.1296492204, validation loss:, 0.1255217831
epoch, 46, time used, 1, seconds, train loss, 0.1316062874, validation loss:, 0.1120774543
epoch, 47, time used, 1, seconds, train loss, 0.1295485807, validation loss:, 0.1266976225
epoch, 48, time used, 1, seconds, train loss, 0.1299409695, validation loss:, 0.1106150742
epoch, 49, time used, 1, seconds, train loss, 0.1290074814, validation loss:, 0.1134182099
epoch, 50, time used, 1, seconds, train loss, 0.1277177007, validation loss:, 0.1198693913
