epoch, 0, time used, 4, seconds, train loss, 0.2822607581, validation loss:, 0.1568112792
epoch, 1, time used, 3, seconds, train loss, 0.1394732015, validation loss:, 0.1253832159
epoch, 2, time used, 3, seconds, train loss, 0.1212071345, validation loss:, 0.1082617998
epoch, 3, time used, 3, seconds, train loss, 0.1184192896, validation loss:, 0.0914900821
epoch, 4, time used, 3, seconds, train loss, 0.1108623041, validation loss:, 0.0815693286
epoch, 5, time used, 3, seconds, train loss, 0.1136130031, validation loss:, 0.0786396064
epoch, 6, time used, 3, seconds, train loss, 0.1052621973, validation loss:, 0.0782051542
epoch, 7, time used, 3, seconds, train loss, 0.1021559979, validation loss:, 0.0949791924
epoch, 8, time used, 3, seconds, train loss, 0.1073393189, validation loss:, 0.0907430346
epoch, 9, time used, 3, seconds, train loss, 0.0934114579, validation loss:, 0.0784691322
epoch, 10, time used, 3, seconds, train loss, 0.0930143208, validation loss:, 0.0805669045
epoch, 11, time used, 3, seconds, train loss, 0.0999339393, validation loss:, 0.0750238197
epoch, 12, time used, 3, seconds, train loss, 0.0900375276, validation loss:, 0.0739794841
epoch, 13, time used, 3, seconds, train loss, 0.0972497739, validation loss:, 0.0784479469
epoch, 14, time used, 3, seconds, train loss, 0.0948858799, validation loss:, 0.0741519062
epoch, 15, time used, 3, seconds, train loss, 0.0960337870, validation loss:, 0.1143774911
epoch, 16, time used, 3, seconds, train loss, 0.0885608335, validation loss:, 0.0808507705
epoch, 17, time used, 3, seconds, train loss, 0.0874883472, validation loss:, 0.0868116100
epoch, 18, time used, 3, seconds, train loss, 0.0833369064, validation loss:, 0.0876099264
epoch, 19, time used, 3, seconds, train loss, 0.0919468630, validation loss:, 0.0759832101
epoch, 20, time used, 3, seconds, train loss, 0.0876850579, validation loss:, 0.1014765567
epoch, 21, time used, 3, seconds, train loss, 0.0911097831, validation loss:, 0.0747371339
