epoch, 0, time used, 12, seconds, train loss, 0.1720640109, validation loss:, 0.0865176334
epoch, 1, time used, 12, seconds, train loss, 0.1025690879, validation loss:, 0.0702981863
epoch, 2, time used, 12, seconds, train loss, 0.0859155982, validation loss:, 0.0774132460
epoch, 3, time used, 11, seconds, train loss, 0.0815912949, validation loss:, 0.0668526545
epoch, 4, time used, 12, seconds, train loss, 0.0783650424, validation loss:, 0.0583261759
epoch, 5, time used, 12, seconds, train loss, 0.0707840857, validation loss:, 0.0608906445
epoch, 6, time used, 12, seconds, train loss, 0.0704408967, validation loss:, 0.0570629890
epoch, 7, time used, 13, seconds, train loss, 0.0708813808, validation loss:, 0.0593476043
epoch, 8, time used, 12, seconds, train loss, 0.0706971458, validation loss:, 0.0516835676
epoch, 9, time used, 12, seconds, train loss, 0.0634040347, validation loss:, 0.0514794076
epoch, 10, time used, 11, seconds, train loss, 0.0625218439, validation loss:, 0.0559509660
epoch, 11, time used, 11, seconds, train loss, 0.0627220717, validation loss:, 0.0478642778
epoch, 12, time used, 11, seconds, train loss, 0.0589286677, validation loss:, 0.0530942576
epoch, 13, time used, 11, seconds, train loss, 0.0602825584, validation loss:, 0.0460715759
epoch, 14, time used, 11, seconds, train loss, 0.0594512261, validation loss:, 0.0715938530
epoch, 15, time used, 11, seconds, train loss, 0.0640711547, validation loss:, 0.0510397670
epoch, 16, time used, 11, seconds, train loss, 0.0575791960, validation loss:, 0.0520155018
epoch, 17, time used, 11, seconds, train loss, 0.0560962942, validation loss:, 0.0470728670
epoch, 18, time used, 11, seconds, train loss, 0.0559203221, validation loss:, 0.0522817452
epoch, 19, time used, 11, seconds, train loss, 0.0554812630, validation loss:, 0.0506637224
epoch, 20, time used, 11, seconds, train loss, 0.0546772044, validation loss:, 0.0519580578
epoch, 21, time used, 11, seconds, train loss, 0.0533666836, validation loss:, 0.0490593994
epoch, 22, time used, 11, seconds, train loss, 0.0526315454, validation loss:, 0.0586640366
